,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
42,154.18487334251404,0.40941190223639023,0.28632203737894696,0.017450873915928318,32894.86836474186,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",133.330908862141,138.2017709308222,127.86579871568506,133.13282616954942,4.22196699599053,65
43,148.22025577227274,9.326262228283362,0.25719531377156574,0.014078926827187954,32894.86836474186,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",164.6492029331309,141.0812102787281,124.46309774160011,143.39783698448636,16.48748681246011,47
44,164.92422533035278,10.514314236863594,0.2977333068847656,0.023861352609246204,32894.86836474186,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",172.66928627537285,201.27029592083022,167.27475492845724,180.40477904155344,14.917609015137156,7
45,139.9256014029185,1.7607979259673354,0.28393880526224774,0.016260382740924104,32894.86836474186,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",191.15801611290803,174.1228779956049,132.09439574925864,165.79176328592385,24.821810528172232,15
46,180.70677415529886,14.115355752102186,0.28815698623657227,0.021864423749471812,32894.86836474186,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",164.24349263082487,127.97325450430829,187.50196256068557,159.9062365652729,24.495245978882988,25
47,154.88615091641745,29.378759697190322,0.2818770408630371,0.01659804879021897,32894.86836474186,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",151.84736151652416,205.65630916941151,154.06059013682992,170.5214202742552,24.86054314890256,12
48,133.70698388417563,0.5541534684590347,0.257068395614624,0.0010756829264656938,32894.86836474186,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",159.51824309604743,196.2292452386756,156.577601430384,170.77502992170233,18.038840528215513,11
49,154.25747394561768,27.491908549143705,0.2674747308095296,0.010196619627217173,32894.86836474186,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",123.41308718768873,148.31073584577433,132.6954601425026,134.8064277253219,10.27344036102004,59
50,169.92752599716187,23.549619031861663,0.28714434305826825,0.010367263548632436,40830.87324092741,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",173.47329762902504,142.29902895980183,166.56907433114168,160.78046697332286,13.36886278191414,23
51,132.238982518514,0.8974220902089435,0.25827884674072266,0.001471766417972139,40830.87324092741,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 40830.87324092741, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",167.2732059006588,143.79935946854144,172.41136244733093,161.16130927217705,12.45466817201485,21
