Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
437.978	1	0.2	2.469E-7	2.469E-7	810045.53671
439.197	1	0	-9.64951E-11	9.64951E-11	0
439.518	1	-1	-1.51445E-7	1.51445E-7	6.60307E6
439.841	1	0	2.9799E-10	2.9799E-10	0
440.164	1	0.2	2.47516E-7	2.47516E-7	808028.24544
441.376	1	0	-9.34742E-11	9.34742E-11	0
441.696	1	-1	-1.54609E-7	1.54609E-7	6.46794E6
442.016	1	0	2.93543E-10	2.93543E-10	0
442.338	1	0.2	2.47884E-7	2.47884E-7	806827.69872
443.56	1	0	-9.73342E-11	9.73342E-11	0
443.882	1	-1	-1.5573E-7	1.5573E-7	6.42137E6
444.205	1	0	2.9283E-10	2.9283E-10	0
444.527	1	0.2	2.4831E-7	2.4831E-7	805445.78001
445.748	1	0	-9.31385E-11	9.31385E-11	0
446.07	1	-1	-1.59718E-7	1.59718E-7	6.26102E6
446.389	1	0	2.88593E-10	2.88593E-10	0
446.713	1	0.2	2.4874E-7	2.4874E-7	804053.71722
447.935	1	0	-1.02327E-10	1.02327E-10	0
448.255	1	-1	-1.63951E-7	1.63951E-7	6.09938E6
448.576	1	0	2.89516E-10	2.89516E-10	0
448.896	1	0.2	2.49015E-7	2.49015E-7	803164.79054
450.115	1	0	-9.74181E-11	9.74181E-11	0
450.434	1	-1	-1.63429E-7	1.63429E-7	6.11888E6
450.758	1	0	2.87292E-10	2.87292E-10	0
451.081	1	0.2	2.49221E-7	2.49221E-7	802502.20187
452.3	1	0	-9.91803E-11	9.91803E-11	0
452.621	1	-1	-1.64663E-7	1.64663E-7	6.07301E6
452.945	1	0	2.81629E-10	2.81629E-10	0
453.27	1	0.2	2.4948E-7	2.4948E-7	801666.82566
454.49	1	0	-9.99355E-11	9.99355E-11	0
454.812	1	-1	-1.66168E-7	1.66168E-7	6.01802E6
455.127	1	0	2.88383E-10	2.88383E-10	0
455.448	1	0.2	2.49601E-7	2.49601E-7	801277.55694
456.668	1	0	-1.01824E-10	1.01824E-10	0
456.988	1	-1	-1.71234E-7	1.71234E-7	5.83998E6
457.309	1	0	2.91319E-10	2.91319E-10	0
457.632	1	0.2	2.49715E-7	2.49715E-7	800913.04087
458.854	1	0	-9.95999E-11	9.95999E-11	0
459.164	1	-1	-1.71845E-7	1.71845E-7	5.81918E6
459.486	1	0	2.88551E-10	2.88551E-10	0
459.807	1	0.2	2.4989E-7	2.4989E-7	800351.83467
461.028	1	0	-1.02243E-10	1.02243E-10	0
461.349	1	-1	-1.73212E-7	1.73212E-7	5.77328E6
461.672	1	0	2.89054E-10	2.89054E-10	0
461.996	1	0.2	2.50085E-7	2.50085E-7	799728.73201
463.217	1	0	-1.02159E-10	1.02159E-10	0
463.539	1	-1	-1.73552E-7	1.73552E-7	5.76197E6
463.862	1	0	2.88005E-10	2.88005E-10	0
464.178	1	0.2	2.501E-7	2.501E-7	799681.40693
465.398	1	0	-1.01488E-10	1.01488E-10	0
465.72	1	-1	-1.74577E-7	1.74577E-7	5.72812E6
466.042	1	0	2.82719E-10	2.82719E-10	0
466.367	1	0.2	2.5024E-7	2.5024E-7	799231.77841
467.587	1	0	-1.03837E-10	1.03837E-10	0
467.908	1	-1	-1.81272E-7	1.81272E-7	5.51658E6
468.224	1	0	2.81964E-10	2.81964E-10	0
468.548	1	0.2	2.50327E-7	2.50327E-7	798955.60523
469.771	1	0	-1.01949E-10	1.01949E-10	0
470.096	1	-1	-1.77818E-7	1.77818E-7	5.62372E6
470.418	1	0	2.86831E-10	2.86831E-10	0
