Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
889.801	1	-4	-9.13279E-5	9.13279E-5	43798.24034
890.296	1	0	8.41728E-10	8.41728E-10	0
890.701	1	-1	-3.85216E-9	3.85216E-9	2.59594E8
891.007	1	0	5.04483E-10	5.04483E-10	0
891.314	1	-4	-9.13567E-5	9.13567E-5	43784.39949
891.809	1	0	8.69084E-10	8.69084E-10	0
892.214	1	-1	-3.77175E-9	3.77175E-9	2.65129E8
892.52	1	0	5.06554E-10	5.06554E-10	0
892.827	1	-4	-8.96819E-5	8.96819E-5	44602.08805
893.322	1	0	8.59802E-10	8.59802E-10	0
893.727	1	-1	-3.69291E-9	3.69291E-9	2.70789E8
894.033	1	0	5.12272E-10	5.12272E-10	0
894.347	1	-4	-8.89386E-5	8.89386E-5	44974.8377
894.84	1	0	8.76752E-10	8.76752E-10	0
895.245	1	-1	-3.60741E-9	3.60741E-9	2.77208E8
895.551	1	0	5.1762E-10	5.1762E-10	0
895.859	1	0.5	4.71867E-4	4.71867E-4	1059.62106
896.261	1	0	1.88973E-11	1.88973E-11	0
896.677	1	-1	-4.59535E-9	4.59535E-9	2.17611E8
896.982	1	0	3.38489E-10	3.38489E-10	0
897.294	1	0.5	4.73971E-4	4.73971E-4	1054.91619
897.695	1	0	-4.43497E-11	4.43497E-11	0
898.107	1	-1	-5.08403E-9	5.08403E-9	1.96694E8
898.414	1	0	2.93811E-10	2.93811E-10	0
898.721	1	0.5	4.75109E-4	4.75109E-4	1052.38942
899.124	1	0	-8.06178E-11	8.06178E-11	0
899.53	1	-1	-5.42384E-9	5.42384E-9	1.84371E8
899.837	1	0	2.80796E-10	2.80796E-10	0
900.144	1	0.5	4.7588E-4	4.7588E-4	1050.68394
900.541	1	0	-8.93637E-11	8.93637E-11	0
900.949	1	-1	-5.70269E-9	5.70269E-9	1.75356E8
901.263	1	0	2.63388E-10	2.63388E-10	0
901.569	1	0.5	4.76434E-4	4.76434E-4	1049.46352
901.972	1	0	-9.07728E-11	9.07728E-11	0
902.384	1	-1	-5.99864E-9	5.99864E-9	1.66705E8
902.691	1	0	2.5941E-10	2.5941E-10	0
902.999	1	0.5	4.76882E-4	4.76882E-4	1048.47762
903.403	1	0	-1.06938E-10	1.06938E-10	0
